event_type,tier,spec,lag,effect,se,effect_pw,t,n_events,n_players
material,1900-2100,zpre,-2,0.011318628158566208,0.011965044305712097,0.016396352947743782,0.9459746131623357,19229,473
material,1900-2100,zpre,-1,0.021895719860393643,0.012376735251474107,0.013922356366850202,1.7691030320605585,20339,473
material,1900-2100,zpre,0,0.21912739994902616,0.012945457379458783,0.20163935272160968,16.926972414024302,21771,473
material,1900-2100,zpre,1,-0.6488778515773468,0.014837987314739955,-0.6462433140617131,-43.73085364028826,20127,473
material,1900-2100,zpre,2,-0.02210685364754538,0.014641664235117148,0.012669711517033718,-1.509859350177108,19042,473
material,1900-2100,zpre,3,-0.04640522093475138,0.01757767564487625,-0.037604834429499315,-2.640008944998261,17951,473
material,2100+,zpre,-6,0.0029696158176316734,0.01577985250342847,-0.023142440833904723,0.18819034062495,14857,464
material,2100+,zpre,-5,0.00886769609425958,0.01441093840603055,-0.024719219684414095,0.6153448057587085,15605,465
material,2100+,zpre,-4,0.02018559015075224,0.014931752182971091,0.0005224756583067568,1.3518567615777126,16283,465
material,2100+,zpre,-3,-0.0009593037600153564,0.011675383065290073,0.006190204588363136,-0.08216464972933397,17365,465
material,2100+,zpre,-2,0.007637945027623896,0.010501034688122413,0.02013923314248455,0.7273516614760904,18465,465
material,2100+,zpre,-1,0.015003247763978236,0.00983099029772217,-0.0035169559091021096,1.5261176452848777,19602,465
material,2100+,zpre,0,0.20448176880545232,0.011862074337230195,0.20813493863200908,17.23828084297767,21066,465
material,2100+,zpre,1,-0.648742057776182,0.014790479055734485,-0.6377688823944685,-43.862139646156706,18961,465
material,2100+,zpre,2,-0.01855370521739384,0.014697567957504123,0.009661207287607566,-1.262365669683527,17859,465
material,2100+,zpre,3,-0.02300386221784282,0.015574415350155149,-0.015183913329189674,-1.47702894141793,16779,465
material,fm_plus,nlegal,-6,0.005741984542816149,0.012245258134811487,-0.0016625245112481147,0.4689149448383226,18239,136
material,fm_plus,nlegal,-5,0.018193165949796763,0.013338593914366566,0.01171280934206818,1.3639493087949468,19058,136
material,fm_plus,nlegal,-4,0.03473768627584064,0.010599811704445758,0.029530011239125967,3.2771984299750354,19767,136
material,fm_plus,nlegal,-3,0.03669480395031192,0.012790944906171164,0.03364303239007573,2.8688110393320523,20512,136
material,fm_plus,nlegal,-2,0.06250415183525909,0.011191493371910543,0.05627224071939677,5.584969740690537,21191,136
material,fm_plus,nlegal,-1,0.05596048931090575,0.010956138598299556,0.058979694789182316,5.1076835884123515,21475,136
